name,D_Mpc,n_points,Rmax_kpc,Nosc_Rmax_over_lambda0,chi2_reduced,R_squared,RMSE_km_s,V_max_fixed,A,zeta,lambda0_kpc,phi0_rad,Rc_kpc,success
NGC2976,3.58,27,2.27,0.7832934220715951,0.39096395171798637,0.9955118746973349,1.6569189661787138,83.6,0.23083863203308488,0.06647126276527407,2.8980199961292614,0.401028187387222,1.039404781483006,True
NGC2998,68.1,13,42.28,1.094590238089896,2.254415540182825,0.9280287200584317,10.455809311845753,213.0,0.03277187814414916,0.99,38.62632657292861,1.4662889613212022,0.7667112821554063,True
NGC3109,1.33,25,6.45,0.5,0.22743887226364612,0.9967548222555618,1.05306799963779,66.2,0.10919566616091238,0.01,12.9,1.4669623053853802,2.8122322839490326,True
NGC3198,13.8,43,44.08,0.6656317896148856,0.49471423165847833,0.9850434787945853,4.324399715792531,149.0,0.04303673947693881,0.99,66.22279868199107,3.2283256897807293,3.836791779445617,False
NGC3521,7.7,41,17.74,0.5000002319404387,0.13158013639291732,0.949240333998984,3.5588307731645075,210.0,0.04820974799587635,0.1336724199122574,35.4799835415141,4.216158008188609,0.6617763694862019,True
NGC3726,18.0,12,32.52,1.515529394676834,0.939156006475329,0.9650090647950973,3.5996302171834165,167.5,0.17658955283456557,0.14535620325439758,21.457848402164743,2.3233013745848146,5.310701752979398,False
NGC3741,3.21,21,7.0,0.6345116045721013,0.3114763087760003,0.9921700082002541,0.9978046770946918,50.05,0.15297576829212897,0.99,11.032107134936679,6.283185307179586,0.8260488197590379,False
NGC3769,18.0,12,37.16,0.5000000000000002,0.5705336717289864,0.8507945660187597,3.8964637838977176,119.5,0.11666313271419067,0.5995323370143814,74.31999999999996,4.887248326271694,2.2823656222330038,True
NGC3877,18.0,13,11.35,0.5,0.2810985671728448,0.9949227250169611,2.82740229006566,170.5,0.06003556807217591,0.99,22.7,2.2404703575153837,2.6182836136728973,False
NGC3893,18.0,10,19.05,0.5,0.4825911994900049,0.9403102600067583,3.343098400635939,177.5,0.11693861409367373,0.16998237474311542,38.1,3.6216091696606783,1.5150111322377986,False
NGC3917,18.0,17,14.86,0.5000000000000001,0.38758027914744253,0.9960166079634106,2.1076626532228624,137.0,0.06560257877818859,0.99,29.71999999999999,2.08877046419934,3.244756780308467,False
NGC3972,18.0,10,8.72,0.5,0.1858294025680254,0.9979424113009455,1.309220304241326,132.0,0.1030847943705285,0.09114032004864811,17.44,0.958821161169599,2.3457383142069745,False
NGC4010,18.0,12,10.47,1.0398273453940388,0.4091765261821471,0.9948819472414393,2.1472421866377696,125.5,0.3307601376636808,0.29236040400874175,10.068979284279576,5.860070598590524,2.7873990057174836,True
