name,D_Mpc,n_points,Rmax_kpc,lambda0_kpc_fixed,Nosc_Rmax_over_lambda0,chi2_reduced,R_squared,RMSE_km_s,V_max_fixed,A,zeta,phi0_rad,Rc_kpc,success
F571-8,53.3,13,15.55,20.215,0.7692307692307693,0.33552866438755,0.9965132481597014,2.3231689298520637,137.5,0.42482080971967795,0.8235127675060727,0.34606722853428906,1.6650626786725045,True
F574-1,96.8,14,12.6,16.38,0.7692307692307693,0.07006974630004988,0.9979748178105055,1.0969339380293681,99.15,0.028668596952753526,0.010000076668103005,0.7573096408220686,2.8433299136551944,True
F579-V1,89.5,14,15.16,19.708000000000002,0.7692307692307692,0.004933259211139332,0.9989346414829378,0.6513632080165552,114.0,0.11366365786697914,0.6352165263201554,6.252911754410367,1.233966140270824,True
F583-1,35.4,25,16.26,21.138,0.7692307692307693,0.20806720629091732,0.9847806314190826,3.014933036341017,80.3,0.3679062120252981,0.7607246246727789,1.174801222733482,1.996732952240137,True
F583-4,53.3,12,7.29,9.477,0.7692307692307692,0.15230767406912446,0.9927726168698587,1.494894939135363,65.80000000000001,0.1052528050887843,0.06653544169673876,5.769695600675704,1.7695421329898933,True
IC2574,3.91,34,10.23,13.299000000000001,0.7692307692307692,0.5999924726838742,0.986493225522305,1.9106074398784407,63.8,0.15715906995434403,0.01,6.098756898888985,4.513817543122579,True
IC4202,100.4,32,25.9,33.67,0.7692307692307692,1.2843348962777787,0.989876526577886,5.140132780644064,244.0,0.06289127475001656,0.99,2.379799351307089,3.513482346804183,True
KK98-251,6.8,15,3.13,4.069,0.7692307692307692,0.10440367019856941,0.996967228730534,0.5533992825400152,33.75,0.2921571848191264,0.14863946285957969,0.6882083664447135,1.383810948834194,True
NGC0024,7.3,29,11.27,14.651,0.7692307692307692,0.18263879463308527,0.9913485095479959,2.3374787981966145,107.0,0.028773888388530105,0.9899997038349773,2.974156485105424,1.0901958380326562,True
NGC0055,2.11,21,13.5,17.55,0.7692307692307692,0.11835697109459797,0.9969253754670732,0.9923803160429382,86.15,0.2989176778015802,0.946011541011843,0.24729128265985312,1.8966789993022817,True
NGC0100,13.5,21,9.62,12.506,0.7692307692307692,0.13067080166850195,0.9923825374796793,2.058785028626252,88.25,0.12706410610686986,0.9466813014505248,0.23719514224944152,2.338069252538408,True
NGC0247,3.7,26,14.54,18.902,0.7692307692307692,0.30781265756627785,0.9931601504922175,1.6298451728898808,105.0,0.26332424872186583,0.2806305941050041,5.972339009963312,2.975260380811588,True
NGC0289,20.8,28,71.12,92.456,0.7692307692307693,3.0851563938792754,-0.5258866876736508,11.739604728642654,166.0,0.06497647681993368,0.01,2.5117624184764176,0.05,True
NGC0300,2.08,25,11.8,15.340000000000002,0.7692307692307692,0.39367257301122377,0.9682592598257189,2.913496385202006,93.7,0.05069789885088318,0.01,0.24290793337196176,2.3936468391336776,True
