A,zeta,phi0,Rc,k,Mc,Vmax,chi2_red,success,name
0.8,0.01,3.337664782500432,2.228874365259673,5.0,19358984966.46517,223.0,1.4116468356784904,True,NGC3953
0.1765367446017232,0.01,4.061237339921901,2.6812580901200214,5.0,3541630205.6371026,134.0,0.7512187294027555,True,NGC3972
0.41896675420230695,0.7336864520594548,3.1855529633316677,0.1000032078127937,1.9658551302630145,611964747.6097863,241.0,22.458814957967864,True,NGC3992
0.8,0.01,3.622063603868184,2.3113840294586105,4.929478988867633,3205408466.3817334,124.0,0.7783800659376814,True,NGC4010
0.42958846500913356,0.8460373275728429,4.207094176683704,0.10000080109515253,0.5913842242943348,926958092.0822281,174.0,8.090116591344398,True,NGC4013
0.29581255129070355,0.05350627732348018,2.6537858750737686,1.9714427238516588,1.53583310965033,12479320555.04796,154.0,7.543040211613066,True,NGC4051
0.40191165562041786,0.01,1.3921353042727167,1.135621021560038,4.17799125710839,144931629.67672074,36.0,0.7015335970141073,True,NGC4068
0.8,0.01,2.2915571455964203,1.740300227764896,5.0,6819509161.007823,133.0,2.7885677275934766,True,NGC4085
0.8,0.01,2.9391235526164854,2.1590085918925577,5.0,10902769069.500769,171.0,2.50781093052832,True,NGC4088
0.16942438903248971,0.6790158083522274,2.5079158724263544,0.10000190582840851,2.2094555226780264,237149674.5761738,158.0,29.802141407143864,True,NGC4100
0.6276507788070756,0.7811040120231831,1.1484557100096366,0.100000173575717,2.936432402601416,1624316679.7220118,147.0,33.65159591043107,True,NGC4138
0.8,0.01,3.8839428399548606,1.737105039134684,5.0,8833798347.520039,185.0,2.3464943028219003,True,NGC4157
0.5188096379569193,0.01,6.059230982288839,1.9050641039330418,4.588063390715708,1141764537.0379875,112.0,0.1454534528987138,True,NGC4183
0.7999994810735258,0.01032611535669545,4.196997517544336,0.44133950410130296,4.130304201968649,202658377.70612672,80.6,0.12387788238509605,True,NGC4214
0.8,0.01,1.567394482802058,1.7609181325162093,5.0,20291091367.851757,177.0,4.1872528233765625,True,NGC4217
0.8,0.01,3.433559631868992,1.938406201464893,5.0,6539051396.237501,95.9,7.225134037475639,True,NGC4389
