name,D_Mpc,n_points,chi2_reduced,R_squared,RMSE_km_s,V_max,A,zeta,lambda0_kpc,phi0_rad,Rc_kpc,alpha_kpc,success,category
NGC7814,14.4,18,0.49456967304200367,0.9561178750007205,2.8373595533209244,211.18846303604474,0.6624370207729063,0.01,2.816188695421029,5.634199313191065,0.05000000000000001,58.58999999999999,False,OK
PGC51017,13.6,6,0.01269885014763836,0.9770434739802553,0.12605957899299025,19.360402511502887,0.06274464027520946,0.023366622945098732,6.677951980704133,4.791968896555348,0.05000000000000001,0.1466673429159595,False,REJECTED
UGC00128,64.5,22,1.9563561560199363,0.9866289463739669,2.6111997937980584,131.693286466756,0.09021266123811848,0.15565996449183017,15.121566535094496,3.154932284582255,6.063602219719126,0.4790263417262809,False,OK
UGC00191,17.1,9,0.4163441474526509,0.9885175586296644,2.0407209149864936,84.43890329663523,0.10477669129995938,0.01,0.29087843969102645,5.859134462756301,1.804227245140025,0.15978750024026214,False,REJECTED
UGC00634,30.9,4,8.361375412705891e-11,0.9999999999992023,1.3893751327572821e-05,111.95568689790807,0.24460758732830742,0.1458011357619452,5.039294317619277,2.9362819158992033,4.684893597962295,0.1463977025341069,False,REJECTED
UGC00731,12.5,12,0.0444403347956522,0.999136063735658,0.3983054807887712,69.4145140730889,0.10093642350199432,0.01,5.534651602141867,5.315030944327527,1.930081054038207,1.283217451385011,False,OK
UGC00891,10.2,5,7.028857137155254e-08,0.9999999999153327,0.00013048936313609226,72.34984811977735,0.40659721722967485,0.2605807054049001,1.500949454782874,2.1651712852245475,3.9639759866750928,0.7869085275185902,False,REJECTED
UGC01230,53.7,11,0.1390084289039862,0.9875052466783651,3.0503461263914553,104.88689553455488,0.2662137296994417,0.99,10.590303238561042,0.3000344072415661,0.05000024144273697,1.001810309120231,False,OK
UGC01281,5.27,25,0.00510582178645978,0.9997833934504629,0.259096524681318,72.03371993907368,0.061213767388564023,0.010240164741320326,4.340625320742902,0.7570115136956507,3.245537585760287,0.05383639816121858,False,OK
UGC02023,10.4,5,0.014593890394653279,0.9990448875552215,0.46948347924749734,67.86339289255777,0.18954193334096503,0.01,7.56,0.35940118837451857,2.646,0.08316896241688004,False,REJECTED
UGC02259,10.5,8,1.9495305848301778,0.9880409861696817,1.1450696082597736,89.0446025839226,2.0,0.1627719645876884,0.7391612577464891,0.0,1.5689905102144464,0.7421566113609057,False,REJECTED
UGC02455,6.92,8,0.1951710332224127,0.9983357276077065,0.5685439870607726,107.36000000000001,0.5778538059176815,0.010280777294571254,5.851644190944296,0.16991694664814097,2.0495339957573484,3.3076952437913305,False,REJECTED
UGC02487,69.1,17,2.236860254293791,0.817628975013836,8.854839467494,355.1793845292862,0.08185824805039034,0.01027829837526978,71.47330309775619,2.5535356018803355,0.15419303694599085,0.12418112090362997,False,OK
UGC02885,80.6,19,0.5921625264531604,0.788923369346319,6.115532561668785,292.1509115969308,0.38541599491496464,0.01,0.5722618419746592,3.839222311195541,0.05000000000000001,8.894321517857032,False,OK
UGC02916,65.4,43,0.6080998613888965,0.2632394448077049,8.420897218458089,212.47544535451797,0.032563707176026496,0.01,4.982839541421724,3.2101041180714747,0.34200363437807024,0.6058860506721727,True,OK
UGC02953,16.5,115,1.6739157397055908,0.9775556601941111,4.236693601685901,277.3911414979271,0.17789090601986576,0.01,2.844051933100922,0.1488644180225005,0.07061930621144152,3.6580025386053303,False,OK
UGC03205,50.0,48,0.9089980720879718,0.9839467203714566,3.628882687015513,211.79715205762886,0.45197700374638866,0.02079495683075312,0.8089333238768356,0.0,0.16664140747816833,6.459834444284685,False,OK
UGC03546,28.7,30,1.2116590135898155,0.2391083387162709,16.334605674972007,197.351539063966,0.14398945169807242,0.08661070407705344,4.537112223979254,2.479263852508993,0.05000000000000001,0.9633750163058861,False,OK
UGC03580,20.7,47,2.7081297213573263,0.5761362611906389,13.686136941030323,132.92659042323575,2.0,0.99,18.963736285462836,5.914498210760389,7.379792500284001,76.91828906463829,False,OK
UGC04278,9.51,25,0.03452461157277757,0.9990548841551885,0.7510022034578013,106.33005535842696,0.6545134370026237,0.45193505327693834,6.554382656412829,4.5032622434517755,4.447192782020152,0.05344228181797199,False,OK
UGC04305,3.45,22,0.10504781088887696,0.9894428141766823,0.8854516262643914,34.71689373565558,0.5988026283756315,0.3639527860159485,3.3108426281292918,1.0379322862190934,0.9070980389115245,0.05000000000000001,True,OK
UGC04325,9.6,8,0.14971298073382497,0.999377367054929,0.41723874633340485,93.34524108996204,0.6196737985367454,0.9899995378062167,2.5503866167617333,5.407244486110606,0.8772347645533478,3.084334718405267,False,REJECTED
UGC04483,3.34,8,0.00022268617768028668,0.9999956349692731,0.013533773005925679,25.829817295479483,0.18800663523769104,0.08649018981085814,0.2930453237268171,2.6619141736501897,0.46098441151526015,0.3494570770921417,False,REJECTED
UGC04499,12.5,9,0.04135974474645462,0.9995953753575542,0.3064667545326823,78.16397250048034,0.041439096989635736,0.1682268195964679,4.094210904054867,1.765507771567951,2.6453172829703906,0.05000000000000001,False,REJECTED
UGC05005,53.7,11,0.002782339129189882,0.999191474747062,0.7913530774495573,88.70941598118792,0.1692184445083893,0.01,11.904008585380554,6.247079035912611,4.505036795257676,2.238235236891444,False,OK
UGC05253,22.9,73,0.4830892744103908,0.7183908215343747,5.003810115426908,227.44624473226537,0.08708289606437987,0.01,91.54381230862188,4.025754451827583,0.09264951725804745,0.050001934206109266,False,OK
UGC05414,9.4,6,0.08181072558478619,0.9995810351927944,0.28505195422065605,72.03230803965377,2.0,0.13488350500045676,0.47184898375598044,0.0,2.5864303504625985,0.773107918966777,False,REJECTED
UGC05716,21.3,12,0.5214101648661178,0.9921681397581761,0.974847253516688,74.14123539828415,0.35401208134525025,0.545144916786929,9.669126323161775,5.024152663074235,2.1920297071381456,0.05000000000000001,False,OK
UGC05721,6.18,23,0.10758455731469344,0.9941875674537706,1.275685304103774,79.97915106636745,0.23324689561572146,0.07622467067260424,0.873744843371304,4.109363754246608,0.5359594276267259,1.2943731157604512,False,OK
UGC05750,58.7,11,0.0013520630651233576,0.9999241953712638,0.21460211669324744,78.31984703423964,0.36451446786732167,0.6552053908814964,34.36173910715936,1.71504232648023,4.326640567152946,0.494861109880927,False,OK
UGC05764,7.47,10,1.6140667346170365,0.9902262506808617,1.0502649912205808,30.69,1.2055784710802115,0.18455395747602282,7.24,2.607351069406391,0.1333656555707179,1.048336580185935,False,OK
UGC05829,8.64,11,0.011284757254917347,0.9995891651905404,0.32413824820002723,83.7987870113199,0.26102936771975976,0.031884409032294336,1.2269666240097041,2.2854444674453713,4.307683488194464,2.557474121559797,False,OK
UGC05918,7.66,8,0.03841494865341718,0.9990085120906785,0.27233137912687433,48.08820804664483,0.1351935542711722,0.2517214587457283,8.911992829249519,6.283185307179586,1.4114448616077984,0.8914619195792696,False,REJECTED
UGC05986,8.63,15,0.048472990473448115,0.9996821767338224,0.46384419226390156,106.09424538055126,0.17100138911106624,0.010322711235708344,3.1291793761861513,0.0006142483857282776,1.82243347504035,2.028161233325289,False,OK
UGC05999,47.7,5,5.07717170850951e-11,0.9999999999993423,1.5932940263036057e-05,107.34232390024866,0.552998283179317,0.4119949229236067,5.690543014323149,4.903826805876702,6.344882537370605,0.30948796764590425,False,REJECTED
UGC06399,18.0,9,0.004545934008173511,0.9999460531393941,0.1481271079566442,95.2938509008008,0.019057938218029345,0.01,1.4137997476717008,4.01785727709404,3.1768291325346065,0.4557960579728074,False,REJECTED
UGC06446,12.0,17,0.04696237031250046,0.9937100174357664,1.0794101792126032,84.68037519797988,0.3525600858749465,0.12474463154483771,1.5825759367844598,2.17214486600743,1.778936665026465,1.7259261418760155,False,OK
UGC06614,88.7,13,0.0022725148315047936,0.9984480392338514,0.5587086249479724,203.69092364838752,0.3697563411108656,0.10730011861793114,10.150382693313393,4.365199105932201,2.231955042236996,3.318586838653781,False,OK
UGC06628,15.1,7,0.0017594995758975337,0.9993599761804893,0.13111460556344395,42.950650458587226,1.2244502431161368,0.3956280603270664,1.0156426779847474,4.627591008616774,1.1660446814403465,2.1930155418858552,False,REJECTED
